pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.99987,40.762768,-73.932304,40.828217,2013-07-28 13:18:14
-73.963028,40.804062,-73.92778,40.829849,2013-07-28 12:41:15
-73.96299,40.804062,-73.929703,40.826412,2013-07-28 12:38:45
-73.8629,40.76844,-73.929779,40.826569,2013-07-28 13:09:09
-73.989258,40.757813,-73.928436,40.82938,2013-07-28 13:05:41
-73.988434,40.757111,-73.931709,40.828243,2013-07-28 12:49:39
-73.9599,40.770653,-73.929733,40.826588,2013-07-28 12:36:03
-74.00441,40.721718,-73.928024,40.830269,2013-07-28 12:46:34
-73.993973,40.751598,-73.929848,40.826672,2013-07-28 12:47:36
-73.961922,40.805798,-73.929512,40.830006,2013-07-28 12:39:19
-73.973206,40.76405,-73.924957,40.827579,2013-07-28 13:07:58
-73.981285,40.784203,-73.928993,40.82901,2013-07-28 12:46:26
-73.986443,40.740082,-73.93026,40.826832,2013-04-28 13:07:00
-73.955872,40.779751,-73.929428,40.82999,2013-04-28 12:43:00
-73.976768,40.752136,-73.929832,40.82666,2013-04-28 12:50:00
-73.973419,40.752129,-73.929985,40.826817,2013-04-28 12:58:00
-74.00515,40.718182,-73.93013,40.826836,2013-04-28 12:39:00
-73.981827,40.778381,-73.926025,40.826305,2013-04-28 12:59:00
-73.975479,40.761372,-73.930702,40.826077,2013-04-28 13:04:00
-73.950478,40.809834,-73.929901,40.826721,2013-04-28 12:55:00
-73.953545,40.775326,-73.92395,40.829136,2013-04-28 13:02:00
-73.973991,40.791752,-73.928268,40.829491,2013-04-28 13:27:00
-73.986244,40.740253,-73.930206,40.826847,2013-04-28 12:53:00
-73.945145,40.778511,-73.92955,40.826294,2013-04-28 13:00:00
-73.928429,40.851063,-73.926765,40.831131,2013-04-28 13:02:00
-73.997406,40.736637,-73.929726,40.826511,2013-04-13 16:15:10
-73.972069,40.794003,-73.930077,40.826763,2013-04-14 19:42:42
-73.976547,40.751648,-73.926361,40.826611,2013-04-13 16:05:15
-73.963898,40.767906,-73.927979,40.829762,2013-04-13 15:56:17
-73.954094,40.821671,-73.928162,40.829594,2013-04-04 19:17:18
-73.981392,40.74596,-73.930229,40.826912,2013-04-13 15:38:03
-73.975716,40.735703,-73.922714,40.826912,2013-04-13 16:15:29
-73.978004,40.766296,-73.929893,40.826645,2013-04-14 20:08:02
-73.959557,40.771568,-73.926598,40.828068,2013-04-13 15:46:15
-73.991608,40.758171,-73.929207,40.828987,2013-04-13 16:32:27
-73.967384,40.800186,-73.928574,40.82935,2013-04-13 15:51:46
