pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.864586,40.770603,-73.850655,40.752449,2013-08-27 19:10:45
-73.97271,40.780884,-73.849564,40.752842,2013-08-29 12:46:17
-73.982643,40.766212,-73.843628,40.755569,2013-08-29 12:44:16
-73.993988,40.732849,-73.85025,40.753208,2013-08-29 13:21:03
-73.980934,40.767536,-73.845947,40.754753,2013-08-29 13:15:57
-73.975891,40.751522,-73.845543,40.754742,2013-08-28 19:39:31
-73.95446,40.769833,-73.844749,40.758148,2013-08-29 13:32:06
-73.873047,40.773983,-73.844955,40.758579,2013-08-29 13:06:05
-73.874504,40.774036,-73.849579,40.752979,2013-08-29 12:51:45
-73.97274,40.755962,-73.8451,40.75481,2013-08-26 19:22:01
-73.985641,40.752224,-73.849487,40.753487,2013-08-26 19:17:36
-73.946983,40.722538,-73.846054,40.759605,2013-08-26 19:03:04
-73.985176,40.732479,-73.845863,40.75457,2013-08-28 18:59:36
-73.95108,40.743774,-73.84597,40.75425,2013-08-29 12:49:30
-73.981827,40.778381,-73.849571,40.752384,2013-08-28 19:05:42
-73.982437,40.771694,-73.8508,40.756168,2013-08-27 18:51:29
-73.874138,40.773731,-73.847046,40.754139,2013-08-29 12:57:25
-74.009216,40.703793,-73.845863,40.754791,2013-08-26 19:21:33
-74.004555,40.742027,-73.846237,40.754448,2013-08-29 12:46:00
-73.954666,40.78093,-73.844048,40.755291,2013-08-26 18:57:46
-74.003281,40.724087,-73.845963,40.753227,2013-08-29 12:56:32
-73.873009,40.774273,-73.847809,40.753986,2013-08-26 19:20:57
-73.980278,40.754631,-73.844658,40.757923,2013-08-27 19:24:23
-73.865051,40.769699,-73.846283,40.754459,2013-08-29 13:39:41
-73.966766,40.753185,-73.847977,40.758614,2013-08-29 12:44:04
-73.995667,40.759247,-73.851196,40.756382,2013-08-27 18:53:23
-73.9711,40.755524,-73.843491,40.755146,2013-08-29 12:47:03
-73.977203,40.764442,-73.845985,40.754524,2013-08-28 18:54:54
-73.943794,40.776703,-73.850281,40.753235,2013-08-26 19:08:44
-73.978554,40.761909,-73.844559,40.757767,2013-08-28 19:04:06
-73.870934,40.773766,-73.845802,40.754654,2013-08-27 19:18:34
-73.97184,40.75626,-73.845726,40.754639,2013-08-29 12:46:32
-74.004807,40.707039,-73.848732,40.757607,2013-08-06 19:18:00
-73.862938,40.76881,-73.843918,40.756546,2013-08-06 19:23:00
-73.974792,40.750488,-73.8451,40.758774,2013-08-06 19:32:00
-73.979019,40.764164,-73.845726,40.754501,2013-08-24 16:19:28
-73.863686,40.769707,-73.844925,40.758514,2013-08-24 15:37:44
-73.947853,40.775131,-73.844421,40.757526,2013-08-25 12:46:36
-73.959267,40.775238,-73.848579,40.758244,2013-08-24 15:46:29
-73.902885,40.770679,-73.844551,40.757813,2013-08-25 12:43:37
-73.917908,40.770489,-73.845116,40.75885,2013-08-23 19:08:50
-73.963249,40.757523,-73.845444,40.759529,2013-08-23 19:08:47
-73.978912,40.762341,-73.846245,40.754349,2013-08-23 19:27:32
-73.945602,40.777969,-73.844246,40.757172,2013-08-20 18:43:13
-73.978851,40.761871,-73.844391,40.75771,2013-08-23 19:07:44
-73.997009,40.676514,-73.844612,40.757977,2013-08-25 13:14:51
-73.951721,40.715611,-73.849205,40.757263,2013-08-24 15:53:58
-73.95079,40.774994,-73.8452,40.759026,2013-08-24 15:50:04
-73.918892,40.772083,-73.846222,40.759964,2013-08-25 12:52:33
-73.995544,40.721859,-73.844795,40.758099,2013-08-23 19:02:32
-73.874634,40.774132,-73.844925,40.758511,2013-08-25 13:11:03
-73.987991,40.758213,-73.844894,40.758476,2013-08-25 12:57:50
-73.964981,40.761757,-73.84404,40.756866,2013-08-24 16:30:09
-73.992599,40.694008,-73.848518,40.753742,2013-08-24 16:31:36
-73.919128,40.743023,-73.845795,40.759884,2013-08-24 16:10:33
-73.945869,40.745708,-73.843826,40.756367,2013-08-27 18:47:04
-73.781982,40.644623,-73.84745,40.754139,2013-08-24 16:15:17
-73.983154,40.693493,-73.844704,40.758099,2013-08-28 18:57:48
-73.956734,40.76646,-73.844109,40.756947,2013-09-26 19:26:01
-73.994125,40.722607,-73.844666,40.758015,2013-09-26 19:19:47
-73.964783,40.803307,-73.844719,40.758099,2013-09-28 16:13:36
-74.005013,40.74794,-73.848778,40.75771,2013-09-28 16:11:30
-73.952446,40.783878,-73.84449,40.757729,2013-09-29 13:23:46
-73.91494,40.764034,-73.848618,40.758163,2013-09-28 15:52:35
-73.993889,40.751694,-73.849899,40.757122,2013-09-29 13:03:47
-73.954453,40.789745,-73.848724,40.757507,2013-09-28 16:28:24
-73.988045,40.718674,-73.851555,40.754044,2013-09-29 13:27:06
-73.993782,40.682018,-73.844955,40.758511,2013-09-29 12:48:32
-73.96637,40.761707,-73.844398,40.75745,2013-09-29 13:00:58
-73.881882,40.767296,-73.847008,40.754219,2013-09-27 18:55:06
-73.991676,40.744595,-73.848572,40.758232,2013-09-29 13:35:46
-73.9729,40.755764,-73.845131,40.754341,2013-09-26 19:27:15
-73.973282,40.752846,-73.848373,40.758389,2013-09-10 19:07:00
-73.98188,40.764301,-73.851288,40.753372,2013-09-10 18:48:00
-73.990257,40.746563,-73.844742,40.758083,2013-09-10 19:18:00
-73.956955,40.78091,-73.843788,40.756409,2013-09-10 18:54:00
