"|","name","lines","lat","line","lng"
"116TH STREET-LENOX AVENUE","116 St","2,3","40.802111","Lenox","-73.949437"
"137TH STREET-BROADWAY","137 St-City College","1","40.821454","7th Ave-Bway","-73.953856"
"34TH STREET & 6TH AVENUE","34 St-Herald Sq","B,D,F,M,N,Q,R","40.749891","Broadway","-73.987495"
"181ST STREET-FT WASH AVE","181 St","A","40.850752","8th Avenue","-73.938130"
"EAST 180TH ST-MORRIS PARK","E 180 St","2,5","40.841453","White Plains","-73.872892"
"FIFTH AVENUE","5 Av/53 St","E,M","40.760373","Queens","-73.975562"
"177TH STREET-PARKCHESTER","Parkchester","6","40.833225","Pelham","-73.860888"
"GRANT AVENUE-PITKIN AVENUE","Grant Av","A","40.676735","Liberty Avenue","-73.865491"
"EASTERN PARKWAY","Eastern Pkwy-Brooklyn Museum","2,3","40.672122","Eastern Parkway","-73.964154"
"104TH STREET","104 St","J,Z","40.695033","Jamaica","-73.843298"
"116TH STREET-8TH AVENUE","116 St","B,C","40.804172","8th Avenue","-73.955131"
"PROSPECT AVE-4TH AVE","Prospect Av","R","40.665299","4th Avenue","-73.992729"
"36TH AVENUE & 31ST STREET","36 Av","N,Q","40.756796","Astoria","-73.929740"
"HALSEY STREET-WYCKOFF AVE","Halsey St","L","40.695871","Canarsie","-73.905143"
"179TH STREET & HILLSIDE AVE","Jamaica-179 St","F","40.712295","Queens","-73.784280"
"103RD STREET-LEXINGTON AVE","103 St","6","40.790193","Lexington","-73.947649"
"ROCKAWAY PKWY-GLENWOOD RD","Canarsie-Rockaway Pkwy","L","40.645560","Canarsie","-73.902524"
"ZEREGA AVE-WESTCHESTER AVE","Zerega Av","6","40.836954","Pelham","-73.846653"
"HOUSTON STREET-VARICK ST","Houston St","1","40.728656","7th Ave-Bway","-74.005086"
"FORDHAM ROAD & JEROME AVE","Fordham Rd","4","40.862814","Jerome","-73.900815"
"FULTON STREET-LAFAYETTE AV","Fulton St","G","40.687159","Crosstown","-73.976290"
"79TH STREET-BROADWAY","79 St","1","40.783985","7th Ave-Bway","-73.979662"
"225TH STREET","Marble Hill-225 St","1","40.874308","7th Ave-Bway","-73.909795"
"CANAL STREET-LISPENARD ST","Canal St","A,C,E","40.720704","8th Avenue","-74.004999"
"85TH STREET & FOREST PKWAY","85 St-Forest Pkwy","J","40.692381","Jamaica","-73.858975"
"BEDFORD AVENUE-NOSTRAND AVE","Bedford-Nostrand Avs","G","40.689367","Crosstown","-73.954957"
"FIFTH AVENUE & 42ND STREET","5 Av","B,D,F,M,7","40.753409","Flushing","-73.981130"
"MARCY AVENUE-BROADWAY","Marcy Av","J,M,Z","40.708409","Jamaica","-73.957689"
"MAIN STREET","Flushing-Main St","7","40.759946","Flushing","-73.828414"
"FIFTH AVENUE & 60TH STREET","5th Av/59 St","N,Q,R","40.764657","Broadway","-73.972229"
"MYRTLE AVENUE-MARCY AVENUE","Myrtle-Willoughby Avs","G","40.695500","Crosstown","-73.948960"
"PELHAM PKWY-ESPLANADE","Pelham Pkwy","5","40.858804","Dyre Avenue","-73.855515"
"KINGS HIGHWAY-EAST 16TH ST","Kings Hwy","B,Q","40.608780","Brighton","-73.957925"
"EAST 149TH ST-SOUTHERN BLVD","E 149 St","6","40.812367","Pelham","-73.903797"
"STEINWAY ST-BROADWAY","Steinway St","M,R","40.758279","Queens","-73.919433"
"PARK PLACE","Park Place","A,C,E,2,3","40.712712","Clark Street","-74.007766"
"25TH STREET-4TH AVENUE","25 St","R","40.660323","4th Avenue","-73.997952"
"145TH STREET-LENOX AVENUE","145 St","3","40.820602","Lenox","-73.935933"
"23RD STREET-PARK AVE SOUTH","23 St","6","40.740008","Lexington","-73.986233"
"36TH STREET-NORTHERN BLVD","36 St","M,R","40.751930","Queens","-73.927141"
"145TH STREET-BROADWAY","145 St","1","40.826513","7th Ave-Bway","-73.950162"
"BUSHWICK AVENUE-ABERDEEN ST","Bushwick Av-Aberdeen St","L","40.682300","Canarsie","-73.905149"
"7TH AVENUE-PARK PLACE","7 Av","B,Q","40.677324","Brighton","-73.972212"
"ASTOR PLACE-4 AVENUE","Astor Pl","6","40.729968","Lexington","-73.991410"
"BEDFORD AVE-NORTH 7TH ST","Bedford Av","L","40.717821","Canarsie","-73.957568"
"OCEAN PKWAY-BRIGHTON BCH AV","Ocean Pkwy","Q","40.576234","Brighton","-73.967561"
"ROCKAWAY PARK-BEACH 116TH","Rockaway Park-Beach 116 St","H","40.580510","Rockaway","-73.837418"
"110TH STREET-BROADWAY","Cathedral Pkwy (110 St)","1","40.803926","7th Ave-Bway","-73.966647"
"LAFAYETTE AVENUE-FULTON ST","Lafayette Av","C","40.685700","Fulton Street","-73.973526"
"NEWKIRK AVE-NOSTRAND AVE","Newkirk Av","2,5","40.639924","Nostrand","-73.948161"
"KINGS HIGHWAY-MCDONALD AVE","Kings Hwy","F","40.603999","Culver","-73.972124"
"JEFFERSON STREET-WYCKOFF AV","Jefferson St","L","40.707229","Canarsie","-73.923725"
"STERLING ST-NOSTRAND AVE","Sterling St","2,5","40.663226","Nostrand","-73.950670"
"79TH STREET-17TH AVENUE","79 St","D","40.612847","West End","-74.000721"
"RECTOR STREET-CHURCH STREET","Rector St","R","40.708028","Broadway","-74.012696"
"45TH ROAD-COURT HOUSE SQ","Court Sq","E,G,M,7","40.746232","Flushing","-73.945322"
"MCDONALD AVE-22ND AVE","Bay Pkwy","F","40.620825","Culver","-73.975138"
"CRESCENT STREET-FULTON ST","Crescent St","J,Z","40.683478","Jamaica","-73.872548"
"RECTOR STREET-GREENWICH ST","Rector St","1","40.708107","7th Ave-Bway","-74.013445"
"CYPRESS AVENUE-138TH STREET","Cypress Av","6","40.805155","Pelham","-73.913208"
"20TH AVENUE-86TH STREET","20 Av","D","40.604587","West End","-73.998007"
"MORRIS PARK-PAULDING AVENUE","Morris Park","5","40.854544","Dyre Avenue","-73.860248"
"JACKSON AVENUE-WESTCHESTER","Jackson Av","2,5","40.816873","White Plains","-73.907379"
"23RD STREET-7TH AVENUE","23 St","1","40.744120","7th Ave-Bway","-73.995348"
"161ST STREET-YANKEE STADIUM","161 St-Yankee Stadium","B,D,4","40.828011","Concourse","-73.925588"
"WILLETS PT BLVD-ROOSEVELT","Mets-Willets Point","7","40.754768","Flushing","-73.845598"
"191ST STREET-ST NICHOLAS AV","191 St","1","40.855374","7th Ave-Bway","-73.929536"
"NEW LOTS AVENUE","New Lots Av","3","40.666285","New Lots","-73.883276"
"BLEECKER ST-LAFAYETTE ST","Bleecker St","6","40.725845","Lexington","-73.994320"
"14TH STREET & 7TH AVENUE","14 St","F,L,M,1,2,3","40.738585","7th Ave-Bway","-73.999405"
"116TH STREET-LEXINGTON AVE","116 St","6","40.798742","Lexington","-73.941406"
"18TH AVENUE-86TH STREET","18 Av","D","40.607897","West End","-74.001628"
"CENTRAL AVE-MYRTLE AVE","Central Av","M","40.698033","Myrtle Avenue","-73.926371"
"181ST STREET-ST NICHOLAS AV","181 St","1","40.849435","7th Ave-Bway","-73.933428"
"14TH STREET-UNION SQUARE","14 St-Union Sq","L,N,Q,R,4,5,6","40.735184","Broadway","-73.989793"
"242ND STREET & BROADWAY","Van Cortlandt Park-242 St","1","40.889946","7th Ave-Bway","-73.897798"
"ROOSEVELT ISLAND","Roosevelt Island","F","40.759016","63rd Street","-73.953505"
"NEWKIRK AVE-EAST 16TH ST","Newkirk Av","B,Q","40.635034","Brighton","-73.962736"
"1ST AVENUE-14TH STREET","1 Av","L","40.731397","Canarsie","-73.982112"
"EAST TREMONT AVENUE-178 ST","West Farms Sq-E Tremont Av","2,5","40.841078","White Plains","-73.879397"
"50TH STREET-8TH AVENUE","50 St","C,E","40.762216","8th Avenue","-73.985757"
"BRIGHTON BEACH-CONEY ISLAND","Brighton Beach","B,Q","40.577986","Brighton","-73.960258"
"82ND STREET-JACKSON HEIGHTS","82 St-Jackson Hts","7","40.747812","Flushing","-73.883876"
"231ST STREET","231 St","1","40.879091","7th Ave-Bway","-73.904538"
"ROOSEVELT AVE/JACKSON HTS","Jackson Heights-Roosevelt Av","E,F,M,R,7","40.746527","Queens","-73.891461"
"170TH STREET-GRAND CONC.","170 St","B,D","40.838991","Concourse","-73.914037"
"81ST STREET-MUSEUM","81 St-Museum of Natural History","B,C","40.782254","8th Avenue","-73.971741"
"125TH STREET-LEXINGTON AVE","125 St","4,5,6","40.804517","Lexington","-73.937186"
"GASTON AVENUE-BEACH 67TH ST","Beach 67 St","A","40.590951","Far Rockaway","-73.796176"
"BOWLING GREEN & BATTERY PL","Bowling Green","4,5","40.704659","Lexington","-74.013920"
"28TH STREET-PARK AVE SOUTH","28 St","6","40.743257","Lexington","-73.983738"
"QUEENS PLAZA-JACKSON AVE","Queens Plaza","E,M,R","40.748807","Queens","-73.937057"
"86TH STREET-AVENUE V","86 St","N","40.592724","Sea Beach","-73.978227"
"LONGWOOD AVE-SOUTHERN BLVD","Longwood Av","6","40.816367","Pelham","-73.895924"
"39TH AVENUE & 31ST STREET","39 Av","N,Q","40.752901","Astoria","-73.932903"
