p_nta_code,p_nta_name,d_nta_code,d_nta_name,num_trips
MN31,Lenox Hill-Roosevelt Island,QN20,Ridgewood,1991
MN25,Battery Park City-Lower Manhattan,BK41,Kensington-Ocean Parkway,1990
MN27,Chinatown,QN50,Elmhurst-Maspeth,1988
BK76,Greenpoint,MN25,Battery Park City-Lower Manhattan,1983
BK68,Fort Greene,BK60,Prospect Lefferts Gardens-Wingate,1980
MN32,Yorkville,QN27,East Elmhurst,1973
BK09,Brooklyn Heights-Cobble Hill,BK78,Bushwick South,1970
MN32,Yorkville,BX34,Melrose South-Mott Haven North,1968
QN31,Hunters Point-Sunnyside-West Maspeth,QN18,Rego Park,1967
BK09,Brooklyn Heights-Cobble Hill,BK31,Bay Ridge,1963
MN40,Upper East Side-Carnegie Hill,BK31,Bay Ridge,1963
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK43,Midwood,1962
LGA,La Guardia Airport,QN62,Queensboro Hill,1954
MN24,SoHo-TriBeCa-Civic Center-Little Italy,QN18,Rego Park,1953
MN19,Turtle Bay-East Midtown,QN25,Corona,1952
JFK,John F Kennedy International Airport,BX49,Pelham Parkway,1951
BK68,Fort Greene,BK77,Bushwick North,1948
MN99,park-cemetery-etc-Manhattan,BK09,Brooklyn Heights-Cobble Hill,1945
MN33,East Harlem South,QN28,Jackson Heights,1940
QN50,Elmhurst-Maspeth,QN29,Elmhurst,1938
BK78,Bushwick South,QN20,Ridgewood,1935
BK75,Bedford,BK37,Park Slope-Gowanus,1930
MN36,Washington Heights South,MN99,park-cemetery-etc-Manhattan,1929
BK90,East Williamsburg,MN15,Clinton,1927
MN14,Lincoln Square,BK31,Bay Ridge,1917
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,QN60,Kew Gardens,1916
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,QN22,Flushing,1916
JFK,John F Kennedy International Airport,QN48,Auburndale,1916
MN15,Clinton,QN21,Middle Village,1911
MN14,Lincoln Square,BK75,Bedford,1909
MN33,East Harlem South,QN72,Steinway,1908
BK77,Bushwick North,BK76,Greenpoint,1907
BK78,Bushwick South,BK37,Park Slope-Gowanus,1906
MN06,Manhattanville,MN19,Turtle Bay-East Midtown,1906
BK33,Carroll Gardens-Columbia Street-Red Hook,BK60,Prospect Lefferts Gardens-Wingate,1903
LGA,La Guardia Airport,QN08,St. Albans,1900
MN17,Midtown-Midtown South,BX55,Soundview-Bruckner,1900
MN14,Lincoln Square,BK64,Prospect Heights,1898
JFK,John F Kennedy International Airport,BK93,Starrett City,1896
LGA,La Guardia Airport,BX13,Co-op City,1896
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,QN25,Corona,1895
MN17,Midtown-Midtown South,BK91,East Flatbush-Farragut,1892
JFK,John F Kennedy International Airport,QN52,East Flushing,1889
MN17,Midtown-Midtown South,BK19,Brighton Beach,1889
LGA,La Guardia Airport,BX63,West Concourse,1887
LGA,La Guardia Airport,QN19,Glendale,1886
MN27,Chinatown,BK34,Sunset Park East,1883
BK64,Prospect Heights,BK60,Prospect Lefferts Gardens-Wingate,1881
BK09,Brooklyn Heights-Cobble Hill,BK32,Sunset Park West,1879
MN25,Battery Park City-Lower Manhattan,QN68,Queensbridge-Ravenswood-Long Island City,1877
LGA,La Guardia Airport,BX06,Belmont,1873
BK68,Fort Greene,BK42,Flatbush,1872
MN04,Hamilton Heights,MN99,park-cemetery-etc-Manhattan,1872
MN22,East Village,QN18,Rego Park,1866
QN71,Old Astoria,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1864
BK64,Prospect Heights,BK09,Brooklyn Heights-Cobble Hill,1858
MN17,Midtown-Midtown South,BX27,Hunts Point,1854
MN09,Morningside Heights,MN50,Stuyvesant Town-Cooper Village,1854
BK68,Fort Greene,BK99,park-cemetery-etc-Brooklyn,1849
MN36,Washington Heights South,MN20,Murray Hill-Kips Bay,1849
BK33,Carroll Gardens-Columbia Street-Red Hook,BK40,Windsor Terrace,1846
LGA,La Guardia Airport,QN53,Woodhaven,1846
LGA,La Guardia Airport,BK34,Sunset Park East,1845
QN76,Baisley Park,MN19,Turtle Bay-East Midtown,1843
BK73,North Side-South Side,MN11,Central Harlem South,1843
BK77,Bushwick North,BK75,Bedford,1840
BK76,Greenpoint,BK64,Prospect Heights,1838
MN06,Manhattanville,MN99,park-cemetery-etc-Manhattan,1838
JFK,John F Kennedy International Airport,BK85,East New York (Pennsylvania Ave),1836
MN25,Battery Park City-Lower Manhattan,BK30,Dyker Heights,1835
BK33,Carroll Gardens-Columbia Street-Red Hook,MN32,Yorkville,1834
MN09,Morningside Heights,BX22,North Riverdale-Fieldston-Riverdale,1834
MN09,Morningside Heights,BX39,Mott Haven-Port Morris,1834
MN19,Turtle Bay-East Midtown,QN35,Briarwood-Jamaica Hills,1834
MN40,Upper East Side-Carnegie Hill,QN30,Maspeth,1834
MN33,East Harlem South,BX14,East Concourse-Concourse Village,1833
QN31,Hunters Point-Sunnyside-West Maspeth,QN99,park-cemetery-etc-Queens,1833
JFK,John F Kennedy International Airport,BK27,Bath Beach,1833
BK99,park-cemetery-etc-Brooklyn,BK99,park-cemetery-etc-Brooklyn,1832
LGA,La Guardia Airport,BK96,Rugby-Remsen Village,1826
JFK,John F Kennedy International Airport,BX39,Mott Haven-Port Morris,1820
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK41,Kensington-Ocean Parkway,1819
BK76,Greenpoint,BK09,Brooklyn Heights-Cobble Hill,1819
JFK,John F Kennedy International Airport,BX28,Van Cortlandt Village,1817
QN18,Rego Park,QN29,Elmhurst,1817
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,QN26,North Corona,1815
MN20,Murray Hill-Kips Bay,QN55,South Ozone Park,1815
LGA,La Guardia Airport,BK58,Flatlands,1813
JFK,John F Kennedy International Airport,BK26,Gravesend,1812
QN70,Astoria,QN26,North Corona,1811
LGA,La Guardia Airport,QN48,Auburndale,1810
BK73,North Side-South Side,MN34,East Harlem North,1810
BK76,Greenpoint,MN21,Gramercy,1808
JFK,John F Kennedy International Airport,QN07,Hollis,1807
QN31,Hunters Point-Sunnyside-West Maspeth,QN26,North Corona,1802
QN70,Astoria,BK90,East Williamsburg,1799
BK73,North Side-South Side,QN17,Forest Hills,1799
MN17,Midtown-Midtown South,BX08,West Farms-Bronx River,1794
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MN99,park-cemetery-etc-Manhattan,1793
MN11,Central Harlem South,BX39,Mott Haven-Port Morris,1790
LGA,La Guardia Airport,QN52,East Flushing,1790
MN06,Manhattanville,MN31,Lenox Hill-Roosevelt Island,1789
MN17,Midtown-Midtown South,QN49,Whitestone,1788
MN20,Murray Hill-Kips Bay,QN22,Flushing,1780
MN17,Midtown-Midtown South,BX59,Westchester-Unionport,1778
BK73,North Side-South Side,QN30,Maspeth,1777
MN24,SoHo-TriBeCa-Civic Center-Little Italy,QN21,Middle Village,1776
MN23,West Village,BK29,Bensonhurst East,1774
MN17,Midtown-Midtown South,BK96,Rugby-Remsen Village,1773
QN72,Steinway,MN33,East Harlem South,1771
QN28,Jackson Heights,QN68,Queensbridge-Ravenswood-Long Island City,1768
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MN33,East Harlem South,1767
LGA,La Guardia Airport,BX09,Soundview-Castle Hill-Clason Point-Harding Park,1767
MN23,West Village,BX22,North Riverdale-Fieldston-Riverdale,1767
MN11,Central Harlem South,MN28,Lower East Side,1762
MN14,Lincoln Square,BX63,West Concourse,1762
MN14,Lincoln Square,BK78,Bushwick South,1762
JFK,John F Kennedy International Airport,BK23,West Brighton,1761
MN31,Lenox Hill-Roosevelt Island,BX14,East Concourse-Concourse Village,1761
MN33,East Harlem South,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1753
MN19,Turtle Bay-East Midtown,BK99,park-cemetery-etc-Brooklyn,1751
MN09,Morningside Heights,QN72,Steinway,1750
QN54,Richmond Hill,QN54,Richmond Hill,1750
MN15,Clinton,BK63,Crown Heights South,1749
BK75,Bedford,BK77,Bushwick North,1745
BK76,Greenpoint,MN40,Upper East Side-Carnegie Hill,1745
QN18,Rego Park,QN17,Forest Hills,1744
BK76,Greenpoint,MN32,Yorkville,1741
QN55,South Ozone Park,JFK,John F Kennedy International Airport,1741
QN31,Hunters Point-Sunnyside-West Maspeth,QN20,Ridgewood,1738
BK60,Prospect Lefferts Gardens-Wingate,BK37,Park Slope-Gowanus,1738
MN01,Marble Hill-Inwood,MN35,Washington Heights North,1737
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK88,Borough Park,1736
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK34,Sunset Park East,1732
BK99,park-cemetery-etc-Brooklyn,BK37,Park Slope-Gowanus,1732
MN23,West Village,BK43,Midwood,1731
QN99,park-cemetery-etc-Queens,MN19,Turtle Bay-East Midtown,1731
MN09,Morningside Heights,BK73,North Side-South Side,1725
MN21,Gramercy,MN01,Marble Hill-Inwood,1723
BK09,Brooklyn Heights-Cobble Hill,QN31,Hunters Point-Sunnyside-West Maspeth,1720
QN72,Steinway,MN15,Clinton,1716
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BX39,Mott Haven-Port Morris,1715
MN17,Midtown-Midtown South,BX44,Williamsbridge-Olinville,1714
MN40,Upper East Side-Carnegie Hill,BX34,Melrose South-Mott Haven North,1713
QN72,Steinway,MN09,Morningside Heights,1712
BK76,Greenpoint,QN72,Steinway,1710
BK76,Greenpoint,MN15,Clinton,1708
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK29,Bensonhurst East,1705
QN61,Jamaica,QN61,Jamaica,1704
MN19,Turtle Bay-East Midtown,BX62,Woodlawn-Wakefield,1704
MN20,Murray Hill-Kips Bay,BX14,East Concourse-Concourse Village,1703
MN06,Manhattanville,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1702
MN01,Marble Hill-Inwood,MN01,Marble Hill-Inwood,1699
MN32,Yorkville,BK68,Fort Greene,1699
MN99,park-cemetery-etc-Manhattan,BK76,Greenpoint,1696
MN40,Upper East Side-Carnegie Hill,QN21,Middle Village,1692
MN14,Lincoln Square,QN27,East Elmhurst,1689
BK90,East Williamsburg,MN31,Lenox Hill-Roosevelt Island,1686
QN17,Forest Hills,QN35,Briarwood-Jamaica Hills,1679
QN68,Queensbridge-Ravenswood-Long Island City,MN99,park-cemetery-etc-Manhattan,1679
MN25,Battery Park City-Lower Manhattan,BK72,Williamsburg,1677
QN17,Forest Hills,QN60,Kew Gardens,1672
MN33,East Harlem South,BK73,North Side-South Side,1671
QN03,Springfield Gardens South-Brookville,MN17,Midtown-Midtown South,1669
MN25,Battery Park City-Lower Manhattan,BK28,Bensonhurst West,1668
QN17,Forest Hills,QN29,Elmhurst,1666
BK78,Bushwick South,MN28,Lower East Side,1662
MN17,Midtown-Midtown South,BX10,Pelham Bay-Country Club-City Island,1659
MN50,Stuyvesant Town-Cooper Village,MN09,Morningside Heights,1659
QN99,park-cemetery-etc-Queens,JFK,John F Kennedy International Airport,1659
MN19,Turtle Bay-East Midtown,BK63,Crown Heights South,1658
BK33,Carroll Gardens-Columbia Street-Red Hook,BK77,Bushwick North,1656
BK78,Bushwick South,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1655
MN23,West Village,BK79,Ocean Hill,1648
BK68,Fort Greene,QN31,Hunters Point-Sunnyside-West Maspeth,1647
QN29,Elmhurst,QN70,Astoria,1646
MN34,East Harlem North,BX14,East Concourse-Concourse Village,1645
BK73,North Side-South Side,BK41,Kensington-Ocean Parkway,1645
MN15,Clinton,BX62,Woodlawn-Wakefield,1644
MN33,East Harlem South,BX34,Melrose South-Mott Haven North,1644
JFK,John F Kennedy International Airport,BX46,Parkchester,1644
BK40,Windsor Terrace,BK40,Windsor Terrace,1643
QN63,Woodside,QN72,Steinway,1643
MN50,Stuyvesant Town-Cooper Village,BK37,Park Slope-Gowanus,1641
MN23,West Village,QN55,South Ozone Park,1639
BK90,East Williamsburg,QN72,Steinway,1635
JFK,John F Kennedy International Airport,BX13,Co-op City,1632
MN32,Yorkville,QN50,Elmhurst-Maspeth,1631
BK78,Bushwick South,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1630
MN12,Upper West Side,BX26,Highbridge,1629
JFK,John F Kennedy International Airport,BX63,West Concourse,1621
QN70,Astoria,MN28,Lower East Side,1618
MN25,Battery Park City-Lower Manhattan,BK63,Crown Heights South,1618
MN22,East Village,QN30,Maspeth,1618
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BX28,Van Cortlandt Village,1618
BK68,Fort Greene,MN40,Upper East Side-Carnegie Hill,1615
MN17,Midtown-Midtown South,BX37,Van Nest-Morris Park-Westchester Square,1614
LGA,La Guardia Airport,QN44,Glen Oaks-Floral Park-New Hyde Park,1612
MN31,Lenox Hill-Roosevelt Island,QN26,North Corona,1611
MN31,Lenox Hill-Roosevelt Island,BX29,Spuyten Duyvil-Kingsbridge,1611
MN31,Lenox Hill-Roosevelt Island,QN21,Middle Village,1611
MN17,Midtown-Midtown South,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1608
BK35,Stuyvesant Heights,BK78,Bushwick South,1606
MN20,Murray Hill-Kips Bay,BK99,park-cemetery-etc-Brooklyn,1605
MN12,Upper West Side,BK61,Crown Heights North,1605
LGA,La Guardia Airport,QN02,Springfield Gardens North,1603
BK64,Prospect Heights,BK90,East Williamsburg,1603
MN34,East Harlem North,BX34,Melrose South-Mott Haven North,1602
BK68,Fort Greene,BK32,Sunset Park West,1598
BK76,Greenpoint,MN12,Upper West Side,1595
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK25,Homecrest,1595
MN23,West Village,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1595
MN20,Murray Hill-Kips Bay,BK88,Borough Park,1590
QN28,Jackson Heights,QN27,East Elmhurst,1589
MN19,Turtle Bay-East Midtown,QN37,Kew Gardens Hills,1588
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK79,Ocean Hill,1587
MN31,Lenox Hill-Roosevelt Island,BX34,Melrose South-Mott Haven North,1587
MN17,Midtown-Midtown South,BK95,Erasmus,1585
QN72,Steinway,MN14,Lincoln Square,1585
MN25,Battery Park City-Lower Manhattan,QN29,Elmhurst,1584
BK78,Bushwick South,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1584
MN15,Clinton,BK99,park-cemetery-etc-Brooklyn,1582
BK35,Stuyvesant Heights,BK75,Bedford,1579
MN50,Stuyvesant Town-Cooper Village,MN34,East Harlem North,1579
MN23,West Village,BX14,East Concourse-Concourse Village,1577
BK73,North Side-South Side,QN50,Elmhurst-Maspeth,1574
MN15,Clinton,BX36,University Heights-Morris Heights,1573
MN15,Clinton,BX28,Van Cortlandt Village,1572
BK90,East Williamsburg,MN12,Upper West Side,1570
QN71,Old Astoria,MN12,Upper West Side,1570
BK73,North Side-South Side,MN03,Central Harlem North-Polo Grounds,1569
BK33,Carroll Gardens-Columbia Street-Red Hook,QN31,Hunters Point-Sunnyside-West Maspeth,1567
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,QN35,Briarwood-Jamaica Hills,1567
QN31,Hunters Point-Sunnyside-West Maspeth,MN34,East Harlem North,1567
MN32,Yorkville,BK69,Clinton Hill,1566
QN71,Old Astoria,JFK,John F Kennedy International Airport,1561
MN32,Yorkville,BX29,Spuyten Duyvil-Kingsbridge,1561
BK99,park-cemetery-etc-Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1559
QN31,Hunters Point-Sunnyside-West Maspeth,BK77,Bushwick North,1557
MN15,Clinton,QN26,North Corona,1556
BK78,Bushwick South,MN17,Midtown-Midtown South,1555
JFK,John F Kennedy International Airport,BX09,Soundview-Castle Hill-Clason Point-Harding Park,1554
MN17,Midtown-Midtown South,BX17,East Tremont,1552
MN11,Central Harlem South,QN70,Astoria,1551
BK61,Crown Heights North,BK35,Stuyvesant Heights,1551
MN33,East Harlem South,QN71,Old Astoria,1549
BK68,Fort Greene,MN12,Upper West Side,1549
QN71,Old Astoria,MN22,East Village,1546
MN15,Clinton,BX41,Mount Hope,1539
BK64,Prospect Heights,BK76,Greenpoint,1539
LGA,La Guardia Airport,BX28,Van Cortlandt Village,1537
MN36,Washington Heights South,JFK,John F Kennedy International Airport,1537
MN25,Battery Park City-Lower Manhattan,BK43,Midwood,1535
MN15,Clinton,BX26,Highbridge,1535
MN15,Clinton,BX05,Bedford Park-Fordham North,1535
LGA,La Guardia Airport,BX46,Parkchester,1535
MN21,Gramercy,BK40,Windsor Terrace,1534
MN20,Murray Hill-Kips Bay,BX29,Spuyten Duyvil-Kingsbridge,1534
QN31,Hunters Point-Sunnyside-West Maspeth,MN09,Morningside Heights,1532
MN17,Midtown-Midtown South,QN62,Queensboro Hill,1530
JFK,John F Kennedy International Airport,BX41,Mount Hope,1528
MN40,Upper East Side-Carnegie Hill,BK72,Williamsburg,1528
BK75,Bedford,MN27,Chinatown,1527
MN04,Hamilton Heights,JFK,John F Kennedy International Airport,1527
QN20,Ridgewood,QN20,Ridgewood,1525
MN12,Upper West Side,BK75,Bedford,1523
MN33,East Harlem South,BX63,West Concourse,1522
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK88,Borough Park,1521
JFK,John F Kennedy International Airport,BX05,Bedford Park-Fordham North,1519
MN17,Midtown-Midtown South,BX40,Fordham South,1519
MN27,Chinatown,MN01,Marble Hill-Inwood,1518
MN40,Upper East Side-Carnegie Hill,QN99,park-cemetery-etc-Queens,1518
MN15,Clinton,QN22,Flushing,1517
LGA,La Guardia Airport,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1516
MN20,Murray Hill-Kips Bay,BX63,West Concourse,1513
QN72,Steinway,MN99,park-cemetery-etc-Manhattan,1512
BX41,Mount Hope,BX41,Mount Hope,1511
MN21,Gramercy,BX39,Mott Haven-Port Morris,1510
BK35,Stuyvesant Heights,BK73,North Side-South Side,1510
QN28,Jackson Heights,QN50,Elmhurst-Maspeth,1509
BK09,Brooklyn Heights-Cobble Hill,BK99,park-cemetery-etc-Brooklyn,1506
MN12,Upper West Side,BK64,Prospect Heights,1506
BK69,Clinton Hill,BK77,Bushwick North,1505
MN33,East Harlem South,MN01,Marble Hill-Inwood,1503
QN17,Forest Hills,MN19,Turtle Bay-East Midtown,1502
MN17,Midtown-Midtown South,BX01,Claremont-Bathgate,1501
MN40,Upper East Side-Carnegie Hill,BK42,Flatbush,1501
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK43,Midwood,1500
QN60,Kew Gardens,QN60,Kew Gardens,1494
MN14,Lincoln Square,BX39,Mott Haven-Port Morris,1492
QN71,Old Astoria,MN21,Gramercy,1492
MN15,Clinton,QN99,park-cemetery-etc-Queens,1491
MN09,Morningside Heights,BX63,West Concourse,1491
MN34,East Harlem North,QN71,Old Astoria,1489
MN12,Upper West Side,BX41,Mount Hope,1489
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1488
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BX41,Mount Hope,1487
QN68,Queensbridge-Ravenswood-Long Island City,MN28,Lower East Side,1484
MN99,park-cemetery-etc-Manhattan,BK33,Carroll Gardens-Columbia Street-Red Hook,1480
MN19,Turtle Bay-East Midtown,BK72,Williamsburg,1479
MN12,Upper West Side,BX36,University Heights-Morris Heights,1478
BK64,Prospect Heights,BK42,Flatbush,1477
MN99,park-cemetery-etc-Manhattan,QN28,Jackson Heights,1477
MN20,Murray Hill-Kips Bay,BK63,Crown Heights South,1474
MN23,West Village,QN99,park-cemetery-etc-Queens,1474
BK68,Fort Greene,JFK,John F Kennedy International Airport,1473
MN23,West Village,QN25,Corona,1473
QN30,Maspeth,QN30,Maspeth,1468
MN12,Upper West Side,BK78,Bushwick South,1468
QN28,Jackson Heights,MN40,Upper East Side-Carnegie Hill,1462
QN72,Steinway,JFK,John F Kennedy International Airport,1459
MN17,Midtown-Midtown South,BK27,Bath Beach,1456
MN12,Upper West Side,BX28,Van Cortlandt Village,1455
QN31,Hunters Point-Sunnyside-West Maspeth,QN21,Middle Village,1454
QN31,Hunters Point-Sunnyside-West Maspeth,BK69,Clinton Hill,1453
JFK,John F Kennedy International Airport,QN12,Hammels-Arverne-Edgemere,1452
LGA,La Guardia Airport,BX10,Pelham Bay-Country Club-City Island,1452
BK33,Carroll Gardens-Columbia Street-Red Hook,BK35,Stuyvesant Heights,1449
LGA,La Guardia Airport,BK79,Ocean Hill,1448
QN31,Hunters Point-Sunnyside-West Maspeth,BK33,Carroll Gardens-Columbia Street-Red Hook,1447
JFK,John F Kennedy International Airport,BX36,University Heights-Morris Heights,1446
LGA,La Guardia Airport,BK91,East Flatbush-Farragut,1446
MN17,Midtown-Midtown South,QN41,Fresh Meadows-Utopia,1446
MN21,Gramercy,QN18,Rego Park,1445
MN17,Midtown-Midtown South,BK81,Brownsville,1445
MN50,Stuyvesant Town-Cooper Village,QN70,Astoria,1445
QN70,Astoria,MN09,Morningside Heights,1442
MN17,Midtown-Midtown South,BK50,Canarsie,1441
BK75,Bedford,MN23,West Village,1439
MN20,Murray Hill-Kips Bay,QN37,Kew Gardens Hills,1435
MN34,East Harlem North,MN50,Stuyvesant Town-Cooper Village,1434
QN71,Old Astoria,MN33,East Harlem South,1434
MN25,Battery Park City-Lower Manhattan,QN21,Middle Village,1430
QN17,Forest Hills,JFK,John F Kennedy International Airport,1430
BK90,East Williamsburg,LGA,La Guardia Airport,1428
MN17,Midtown-Midtown South,BX33,Longwood,1428
MN34,East Harlem North,BX63,West Concourse,1427
MN27,Chinatown,QN30,Maspeth,1425
MN20,Murray Hill-Kips Bay,BK41,Kensington-Ocean Parkway,1425
MN24,SoHo-TriBeCa-Civic Center-Little Italy,QN30,Maspeth,1425
MN19,Turtle Bay-East Midtown,BX34,Melrose South-Mott Haven North,1424
QN29,Elmhurst,MN19,Turtle Bay-East Midtown,1423
JFK,John F Kennedy International Airport,BX44,Williamsbridge-Olinville,1423
MN19,Turtle Bay-East Midtown,BK28,Bensonhurst West,1423
QN17,Forest Hills,QN31,Hunters Point-Sunnyside-West Maspeth,1419
JFK,John F Kennedy International Airport,BX62,Woodlawn-Wakefield,1418
LGA,La Guardia Airport,BK28,Bensonhurst West,1418
MN31,Lenox Hill-Roosevelt Island,QN99,park-cemetery-etc-Queens,1418
MN20,Murray Hill-Kips Bay,QN35,Briarwood-Jamaica Hills,1416
QN27,East Elmhurst,LGA,La Guardia Airport,1415
MN32,Yorkville,BK78,Bushwick South,1415
BX39,Mott Haven-Port Morris,MN03,Central Harlem North-Polo Grounds,1412
MN25,Battery Park City-Lower Manhattan,QN18,Rego Park,1411
BK82,East New York,BK82,East New York,1409
QN28,Jackson Heights,MN31,Lenox Hill-Roosevelt Island,1409
MN09,Morningside Heights,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1408
BK61,Crown Heights North,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1407
BX36,University Heights-Morris Heights,BX36,University Heights-Morris Heights,1407
QN76,Baisley Park,QN76,Baisley Park,1406
MN23,West Village,BK88,Borough Park,1406
MN15,Clinton,QN25,Corona,1405
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BX05,Bedford Park-Fordham North,1405
MN15,Clinton,BK41,Kensington-Ocean Parkway,1404
BK73,North Side-South Side,MN36,Washington Heights South,1404
QN63,Woodside,MN25,Battery Park City-Lower Manhattan,1404
MN24,SoHo-TriBeCa-Civic Center-Little Italy,QN99,park-cemetery-etc-Queens,1403
MN32,Yorkville,BK31,Bay Ridge,1402
BK90,East Williamsburg,MN32,Yorkville,1400
QN68,Queensbridge-Ravenswood-Long Island City,MN27,Chinatown,1399
MN20,Murray Hill-Kips Bay,QN60,Kew Gardens,1398
MN24,SoHo-TriBeCa-Civic Center-Little Italy,QN55,South Ozone Park,1398
MN03,Central Harlem North-Polo Grounds,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1397
MN20,Murray Hill-Kips Bay,BK28,Bensonhurst West,1397
MN40,Upper East Side-Carnegie Hill,QN26,North Corona,1397
BK75,Bedford,BK76,Greenpoint,1394
MN19,Turtle Bay-East Midtown,BX52,Schuylerville-Throgs Neck-Edgewater Park,1393
BK33,Carroll Gardens-Columbia Street-Red Hook,BK63,Crown Heights South,1390
BK09,Brooklyn Heights-Cobble Hill,BK42,Flatbush,1389
QN63,Woodside,MN32,Yorkville,1387
MN11,Central Harlem South,QN31,Hunters Point-Sunnyside-West Maspeth,1384
MN04,Hamilton Heights,MN20,Murray Hill-Kips Bay,1384
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BX36,University Heights-Morris Heights,1384
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1383
MN28,Lower East Side,MN04,Hamilton Heights,1381
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BX29,Spuyten Duyvil-Kingsbridge,1381
MN28,Lower East Side,QN28,Jackson Heights,1379
QN50,Elmhurst-Maspeth,QN28,Jackson Heights,1378
MN22,East Village,QN21,Middle Village,1374
QN29,Elmhurst,LGA,La Guardia Airport,1374
MN50,Stuyvesant Town-Cooper Village,BK09,Brooklyn Heights-Cobble Hill,1373
BK76,Greenpoint,QN71,Old Astoria,1371
MN23,West Village,BK25,Homecrest,1370
MN23,West Village,BX63,West Concourse,1370
LGA,La Guardia Airport,BK25,Homecrest,1369
MN09,Morningside Heights,BK37,Park Slope-Gowanus,1367
MN31,Lenox Hill-Roosevelt Island,BX22,North Riverdale-Fieldston-Riverdale,1366
MN28,Lower East Side,BK42,Flatbush,1366
QN31,Hunters Point-Sunnyside-West Maspeth,BK75,Bedford,1364
MN25,Battery Park City-Lower Manhattan,BK88,Borough Park,1362
QN68,Queensbridge-Ravenswood-Long Island City,QN29,Elmhurst,1362
JFK,John F Kennedy International Airport,BX43,Norwood,1360
BK76,Greenpoint,LGA,La Guardia Airport,1359
QN71,Old Astoria,MN25,Battery Park City-Lower Manhattan,1359
MN19,Turtle Bay-East Midtown,BK88,Borough Park,1359
QN72,Steinway,MN25,Battery Park City-Lower Manhattan,1358
BK75,Bedford,MN22,East Village,1352
QN71,Old Astoria,BK73,North Side-South Side,1352
MN23,West Village,QN26,North Corona,1352
MN33,East Harlem South,QN68,Queensbridge-Ravenswood-Long Island City,1348
QN76,Baisley Park,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1345
QN70,Astoria,MN36,Washington Heights South,1343
BK61,Crown Heights North,BK68,Fort Greene,1341
MN17,Midtown-Midtown South,BX13,Co-op City,1341
MN25,Battery Park City-Lower Manhattan,BK34,Sunset Park East,1338
MN20,Murray Hill-Kips Bay,QN25,Corona,1337
MN21,Gramercy,BK99,park-cemetery-etc-Brooklyn,1335
MN17,Midtown-Midtown South,QN56,Ozone Park,1335
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BX26,Highbridge,1334
MN33,East Harlem South,QN29,Elmhurst,1333
LGA,La Guardia Airport,BX43,Norwood,1333
MN23,West Village,QN35,Briarwood-Jamaica Hills,1332
MN03,Central Harlem North-Polo Grounds,BX39,Mott Haven-Port Morris,1330
QN31,Hunters Point-Sunnyside-West Maspeth,QN25,Corona,1330
QN28,Jackson Heights,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1328
QN70,Astoria,QN25,Corona,1326
QN70,Astoria,QN30,Maspeth,1326
