p_nta_code,p_nta_name,d_nta_code,d_nta_name,num_trips
QN50,Elmhurst-Maspeth,BK82,East New York,14
BK95,Erasmus,MN12,Upper West Side,14
BK95,Erasmus,MN40,Upper East Side-Carnegie Hill,14
BK42,Flatbush,BK21,Seagate-Coney Island,14
BK42,Flatbush,QN71,Old Astoria,14
BK42,Flatbush,QN63,Woodside,14
BK58,Flatlands,LGA,La Guardia Airport,14
BK58,Flatlands,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,14
BK58,Flatlands,BK99,park-cemetery-etc-Brooklyn,14
QN22,Flushing,BK37,Park Slope-Gowanus,14
QN22,Flushing,BK77,Bushwick North,14
QN22,Flushing,BK76,Greenpoint,14
QN22,Flushing,QN53,Woodhaven,14
QN17,Forest Hills,BK99,park-cemetery-etc-Brooklyn,14
BK68,Fort Greene,QN15,Far Rockaway-Bayswater,14
BK68,Fort Greene,BX52,Schuylerville-Throgs Neck-Edgewater Park,14
BK68,Fort Greene,BX01,Claremont-Bathgate,14
BK68,Fort Greene,QN23,College Point,14
QN41,Fresh Meadows-Utopia,QN22,Flushing,14
QN41,Fresh Meadows-Utopia,QN17,Forest Hills,14
QN41,Fresh Meadows-Utopia,QN45,Douglas Manor-Douglaston-Little Neck,14
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK44,Madison,14
QN19,Glendale,MN20,Murray Hill-Kips Bay,14
BK76,Greenpoint,BX43,Norwood,14
MN04,Hamilton Heights,QN76,Baisley Park,14
MN04,Hamilton Heights,BK34,Sunset Park East,14
BX26,Highbridge,MN21,Gramercy,14
BK25,Homecrest,BK23,West Brighton,14
BK25,Homecrest,MN24,SoHo-TriBeCa-Civic Center-Little Italy,14
BK25,Homecrest,MN40,Upper East Side-Carnegie Hill,14
BX27,Hunts Point,MN14,Lincoln Square,14
BX27,Hunts Point,MN12,Upper West Side,14
BX27,Hunts Point,MN20,Murray Hill-Kips Bay,14
BX27,Hunts Point,MN19,Turtle Bay-East Midtown,14
QN28,Jackson Heights,BK50,Canarsie,14
QN28,Jackson Heights,BK81,Brownsville,14
QN28,Jackson Heights,BX33,Longwood,14
QN06,Jamaica Estates-Holliswood,QN99,park-cemetery-etc-Queens,14
BK41,Kensington-Ocean Parkway,MN09,Morningside Heights,14
QN60,Kew Gardens,MN28,Lower East Side,14
QN60,Kew Gardens,BK61,Crown Heights North,14
QN60,Kew Gardens,MN09,Morningside Heights,14
QN57,Lindenwood-Howard Beach,BK82,East New York,14
BX33,Longwood,BX17,East Tremont,14
BX33,Longwood,BX09,Soundview-Castle Hill-Clason Point-Harding Park,14
MN28,Lower East Side,SI14,Grasmere-Arrochar-Ft. Wadsworth,14
BK44,Madison,BK99,park-cemetery-etc-Brooklyn,14
MN01,Marble Hill-Inwood,BX46,Parkchester,14
MN01,Marble Hill-Inwood,BX27,Hunts Point,14
QN30,Maspeth,QN38,Pomonok-Flushing Heights-Hillcrest,14
QN30,Maspeth,BK33,Carroll Gardens-Columbia Street-Red Hook,14
BX34,Melrose South-Mott Haven North,BX40,Fordham South,14
BK43,Midwood,BK64,Prospect Heights,14
BK43,Midwood,BK69,Clinton Hill,14
BK43,Midwood,MN14,Lincoln Square,14
