nta_code,nta_name,p_avg_trip_dist,pickups,d_avg_trip_dist,dropoffs,,,,Filter Used,trip_distance between 0 and 50
QN15,Far Rockaway-Bayswater,7.11,82,12.26,5705,,,,,
QN17,Forest Hills,4.4,54260,8.2,214502,,,,,
QN18,Rego Park,4.85,21815,7.47,67793,,,,,
QN19,Glendale,4.2,1622,8.28,22396,,,,,
QN20,Ridgewood,3.69,5836,6.52,87156,,,,,
QN21,Middle Village,4.59,3160,7.52,52524,,,,,
QN22,Flushing,4.1,11529,8.67,64183,,,,,
QN23,College Point,4.63,1262,9.65,14317,,,,,
QN25,Corona,5.94,5303,7.37,44870,,,,,
QN26,North Corona,3.48,3691,6.55,40944,,,,,
QN27,East Elmhurst,7.39,35190,7.95,89619,,,,,
QN28,Jackson Heights,3.94,85918,6.05,280305,,,,,
QN29,Elmhurst,4.03,48067,6.1,140335,,,,,
QN30,Maspeth,5.06,8191,6.2,60967,,,,,
QN31,Hunters Point-Sunnyside-West Maspeth,3.74,587570,4.38,941576,,,,,
QN33,Cambria Heights,7.64,470,10.06,7050,,,,,
QN34,Queens Village,5.92,842,12.03,13001,,,,,
QN35,Briarwood-Jamaica Hills,8.14,10290,9.12,41559,,,,,
QN37,Kew Gardens Hills,4.08,2950,8.53,34651,,,,,
QN38,Pomonok-Flushing Heights-Hillcrest,4.61,1572,9.52,27256,,,,,
QN41,Fresh Meadows-Utopia,4.57,528,10.55,15893,,,,,
QN42,Oakland Gardens,4.67,258,12.76,11153,,,,,
QN43,Bellerose,5.4,1182,12.43,7781,,,,,
QN44,Glen Oaks-Floral Park-New Hyde Park,4.13,369,13.89,7446,,,,,
QN45,Douglas Manor-Douglaston-Little Neck,5.62,225,13.99,10242,,,,,
QN46,Bayside-Bayside Hills,5.1,732,13.28,21664,,,,,
QN47,Ft. Totten-Bay Terrace-Clearview,5.13,221,12.99,11610,,,,,
QN48,Auburndale,4.39,435,11.56,9211,,,,,
QN49,Whitestone,5.13,683,10.91,18568,,,,,
QN50,Elmhurst-Maspeth,3.76,26620,5.58,84715,,,,,
QN51,Murray Hill,4.08,1186,10.32,20754,,,,,
