nta_code,nta_name,num_stations,households,median_income,median_income_per_household,pickups,dropoffs,total_mta_swipes,total_taxi_trips
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,1993,46370,23.27,211,6276,250960,6487
QN12,Hammels-Arverne-Edgemere,6,1613,74187,45.99,122,3124,1216081,3246
QN15,Far Rockaway-Bayswater,1,1548,55561,35.89,106,5748,631413,5854
QN17,Forest Hills,3,884,56936,64.41,55081,215488,10113403,270569
QN18,Rego Park,1,1267,44515,35.13,22142,68130,4531950,90272
QN19,Glendale,NULL,831,64102,77.14,1676,22488,NULL,24164
QN20,Ridgewood,5,1975,39660,20.08,6015,87442,8817437,93457
QN21,Middle Village,NULL,1299,55712,42.89,3267,52717,NULL,55984
QN22,Flushing,1,1500,43993,29.33,13023,65809,13382144,78832
QN23,College Point,NULL,1310,47736,36.44,1360,14441,NULL,15801
QN25,Corona,1,798,54438,68.22,5496,45119,3219914,50615
QN26,North Corona,2,1924,50201,26.09,3782,41107,11082272,44889
QN27,East Elmhurst,NULL,1620,47359,29.23,35599,90110,NULL,125709
QN28,Jackson Heights,1,776,57863,74.57,87521,282155,4470623,369676
QN29,Elmhurst,4,1406,54760,38.95,48858,141204,19304117,190062
QN30,Maspeth,NULL,484,81066,167.49,8390,61190,NULL,69580
QN31,Hunters Point-Sunnyside-West Maspeth,9,802,70833,88.32,631927,985466,20745417,1617393
QN33,Cambria Heights,NULL,1243,57103,45.94,521,7132,NULL,7653
QN34,Queens Village,NULL,1473,63665,43.22,1026,13213,NULL,14239
QN35,Briarwood-Jamaica Hills,1,1687,58023,34.39,10818,42092,1188742,52910
QN37,Kew Gardens Hills,NULL,1664,76916,46.22,3093,34850,NULL,37943
QN38,Pomonok-Flushing Heights-Hillcrest,NULL,1860,75486,40.58,1695,27415,NULL,29110
QN41,Fresh Meadows-Utopia,NULL,1356,81843,60.36,576,15982,NULL,16558
QN42,Oakland Gardens,NULL,1844,77624,42.1,307,11237,NULL,11544
QN43,Bellerose,NULL,1609,87711,54.51,1591,8215,NULL,9806
QN44,Glen Oaks-Floral Park-New Hyde Park,NULL,892,76302,85.54,515,7616,NULL,8131
QN45,Douglas Manor-Douglaston-Little Neck,NULL,1692,55520,32.81,270,10310,NULL,10580
QN46,Bayside-Bayside Hills,NULL,1029,72374,70.33,802,21796,NULL,22598
QN47,Ft. Totten-Bay Terrace-Clearview,NULL,1467,79066,53.9,254,11662,NULL,11916
QN48,Auburndale,NULL,1375,54071,39.32,462,9256,NULL,9718
QN49,Whitestone,NULL,1380,63007,45.66,799,18738,NULL,19537
QN50,Elmhurst-Maspeth,1,723,60547,83.74,27211,85353,14062176,112564
QN51,Murray Hill,NULL,867,60936,70.28,1292,20894,NULL,22186
QN52,East Flushing,NULL,698,59764,85.62,500,10333,NULL,10833
QN53,Woodhaven,3,889,59161,66.55,2681,27118,3021444,29799
QN54,Richmond Hill,4,1002,54278,54.17,5418,31202,3145589,36620
QN55,South Ozone Park,4,2765,69088,24.99,8283,55194,3091172,63477
QN56,Ozone Park,4,1459,64432,44.16,1605,12410,4299797,14015
QN57,Lindenwood-Howard Beach,1,1065,40876,38.38,1152,14744,1033356,15896
QN60,Kew Gardens,1,1264,53498,42.32,8900,39088,5846871,47988
QN61,Jamaica,6,1347,56885,42.23,12052,35589,23179434,47641
QN62,Queensboro Hill,NULL,735,80316,109.27,2367,14987,NULL,17354
QN63,Woodside,4,818,34465,42.13,106408,206695,8913089,313103
QN66,Laurelton,NULL,1472,54152,36.79,269,7417,NULL,7686
QN68,Queensbridge-Ravenswood-Long Island City,3,1403,49208,35.07,240355,273803,5890174,514158
QN70,Astoria,4,1184,55237,46.65,416561,853675,12860877,1270236
QN71,Old Astoria,1,658,61228,93.05,142900,256968,4221987,399868
QN72,Steinway,2,0,0,0,154699,404959,8174508,559658
QN76,Baisley Park,NULL,12,13140,1095,23556,35680,NULL,59236
QN99,park-cemetery-etc-Queens,1,1644,81638,49.66,46138,72322,1654876,118460
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,NULL,1505,65826,43.74,75,1051,NULL,1126
SI05,New Springville-Bloomfield-Travis,NULL,1311,83461,63.66,396,3693,NULL,4089
SI07,Westerleigh,NULL,1975,63296,32.05,254,2433,NULL,2687
SI08,Grymes Hill-Clifton-Fox Hills,NULL,1926,85059,44.16,133,1871,NULL,2004
SI11,Charleston-Richmond Valley-Tottenville,NULL,1246,54472,43.72,39,675,NULL,714
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,NULL,1099,67617,61.53,135,1301,NULL,1436
SI14,Grasmere-Arrochar-Ft. Wadsworth,NULL,1056,47859,45.32,282,3297,NULL,3579
SI22,West New Brighton-New Brighton-St. George,NULL,1599,86299,53.97,176,2671,NULL,2847
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,NULL,1637,79249,48.41,1316,3937,NULL,5253
SI25,Oakwood-Oakwood Beach,NULL,1556,61367,39.44,27,954,NULL,981
SI28,Port Richmond,NULL,2382,84997,35.68,53,778,NULL,831
SI32,Rossville-Woodrow,NULL,1249,73538,58.88,34,664,NULL,698
SI35,New Brighton-Silver Lake,NULL,1760,62790,35.68,93,1841,NULL,1934
SI36,Old Town-Dongan Hills-South Beach,NULL,1166,56029,48.05,158,2898,NULL,3056
SI37,Stapleton-Rosebank,NULL,1586,73153,46.12,246,2901,NULL,3147
SI45,New Dorp-Midland Beach,NULL,2207,87004,39.42,82,1686,NULL,1768
SI48,Arden Heights,NULL,1934,88499,45.76,238,1014,NULL,1252
SI54,Great Kills,NULL,0,0,0,41,1413,NULL,1454
SI99,park-cemetery-etc-Staten Island,NULL,0,0,0,6,15,NULL,21
